Entity,Code,Year,Oil Consumption - TWh,Gas Consumption - TWh,Coal Consumption - TWh
Greece,GRC,2004,247.72808837890625,25.8547306060791,107.55802917480469
Greece,GRC,2005,249.0912628173828,26.032499313354492,106.09819793701172
Greece,GRC,2006,260.4898376464844,30.69300079345703,97.7074203491211
Greece,GRC,2007,263.4405212402344,38.86781311035156,103.01638793945312
Greece,GRC,2008,252.57150268554688,40.52680206298828,96.96925354003906
Greece,GRC,2009,236.808837890625,34.03144454956055,98.00819396972656
Greece,GRC,2010,214.71914672851562,37.29560852050781,91.50558471679688
Greece,GRC,2011,204.57789611816406,45.9898796081543,91.84949493408203
Greece,GRC,2012,178.33143615722656,42.2681770324707,94.65889739990234
Greece,GRC,2013,164.76158142089844,37.30692672729492,81.2612075805664
Greece,GRC,2014,163.35301208496094,28.442689895629883,78.09800720214844
Greece,GRC,2015,170.19883728027344,30.71388053894043,65.44080352783203
Greece,GRC,2016,169.91696166992188,39.97800064086914,50.69211196899414
Greece,GRC,2017,173.99319458007812,48.2130012512207,2.1881844997406006
Greece,GRC,2018,171.97283935546875,47.20589828491211,54.77490234375
Greece,GRC,2019,177.1958465576172,51.82469940185547,37.17534255981445
Greece,GRC,2020,143.45924377441406,63.42660140991211,21.29485511779785
Greece,GRC,2021,143.1943359375,69.8031005859375,20.551164627075195
High-income countries,,1965,13575.5771484375,4673.5673828125,10125.5859375
High-income countries,,1966,14572.970703125,5065.58203125,10074.8466796875
High-income countries,,1967,15634.72265625,5409.42626953125,9887.056640625
High-income countries,,1968,17000.9609375,5928.29150390625,10106.72265625
High-income countries,,1969,18463.322265625,6529.72119140625,10231.0595703125
High-income countries,,1970,20043.296875,7092.97998046875,10071.8037109375
High-income countries,,1971,21010.232421875,7548.8994140625,9547.55859375
High-income countries,,1972,22538.25390625,7961.54541015625,9469.3330078125
High-income countries,,1973,24235.78125,8184.962890625,9852.7158203125
High-income countries,,1974,23194.98046875,8248.3369140625,9762.091796875
High-income countries,,1975,22367.494140625,7946.76318359375,9575.90625
High-income countries,,1976,23883.923828125,8255.5146484375,10112.5966796875
High-income countries,,1977,24498.3828125,8336.486328125,10238.46484375
High-income countries,,1978,25392.90625,8535.3701171875,10165.8203125
High-income countries,,1979,25561.677734375,8977.4853515625,10801.54296875
High-income countries,,1980,23700.66796875,8904.517578125,11183.7744140625
High-income countries,,1981,22347.607421875,8755.587890625,11303.271484375
High-income countries,,1982,21244.451171875,8369.005859375,11162.880859375
High-income countries,,1983,20938.72265625,8183.79541015625,11402.771484375
High-income countries,,1984,21505.841796875,8873.849609375,11893.64453125
High-income countries,,1985,21483.630859375,8958.6103515625,12387.56640625
High-income countries,,1986,22258.96484375,8814.5498046875,12237.791015625
High-income countries,,1987,22552.796875,9308.1826171875,12575.2109375
High-income countries,,1988,23469.373046875,9648.607421875,12868.478515625
High-income countries,,1989,23778.515625,10156.54296875,12943.05078125
High-income countries,,1990,23982.53515625,10363.5009765625,12619.90234375
High-income countries,,1991,24062.05078125,10740.068359375,12347.9892578125
High-income countries,,1992,24649.3671875,11035.203125,12051.5166015625
High-income countries,,1993,24736.21484375,11461.9130859375,12025.8759765625
High-income countries,,1994,25565.98046875,11777.490234375,11993.1728515625
High-income countries,,1995,26004.318359375,12419.8125,12058.037109375
High-income countries,,1996,26706.677734375,13043.3271484375,12418.46484375
High-income countries,,1997,27089.4921875,13208.306640625,12515.4365234375
High-income countries,,1998,27285.4609375,13305.64453125,12465.7392578125
High-income countries,,1999,27794.53515625,13662.5029296875,12372.818359375
High-income countries,,2000,27797.224609375,14216.2158203125,12920.080078125
High-income countries,,2001,27940.2890625,14171.5791015625,12856.5908203125
High-income countries,,2002,28004.3359375,14520.2412109375,12975.7568359375
High-income countries,,2003,28451.6015625,14735.6396484375,13334.958984375
High-income countries,,2004,29090.794921875,15068.1015625,13384.171875
High-income countries,,2005,29155.564453125,15256.2861328125,13470.6494140625
High-income countries,,2006,29075.525390625,15302.0751953125,13520.8525390625
High-income countries,,2007,29018.560546875,15879.7314453125,13737.42578125
High-income countries,,2008,28185.54296875,16274.0634765625,13470.087890625
High-income countries,,2009,27061.583984375,15747.6376953125,12025.9833984375
High-income countries,,2010,27545.841796875,16917.958984375,12748.3662109375
High-income countries,,2011,27303.255859375,16895.95703125,12490.5048828125
High-income countries,,2012,27147.650390625,17383.90234375,11961.13671875
High-income countries,,2013,27123.900390625,17718.455078125,12140.87109375
High-income countries,,2014,27108.2265625,17466.12890625,11903.400390625
High-income countries,,2015,27604.87109375,17998.361328125,11136.1611328125
High-income countries,,2016,27985.953125,18346.16796875,10467.146484375
High-income countries,,2017,28144.025390625,18555.3203125,10313.7705078125
High-income countries,,2018,28328.3046875,19442.416015625,10001.6708984375
High-income countries,,2019,28055.107421875,19902.830078125,8839.576171875
High-income countries,,2020,24824.3984375,19457.43359375,7560.8447265625
High-income countries,,2021,26192.267578125,19818.712890625,8211.1748046875
Hong Kong,HKG,1965,24.87152099609375,0,1.4304900169372559
Hong Kong,HKG,1966,27.293041229248047,0,1.2327799797058105
Hong Kong,HKG,1967,32.704254150390625,0,0.9885500073432922
Hong Kong,HKG,1968,35.718658447265625,0,0.7094299793243408
Hong Kong,HKG,1969,42.38125991821289,0,0.41868001222610474
Hong Kong,HKG,1970,45.73744583129883,0,0.2442300021648407
Hong Kong,HKG,1971,48.24564743041992,0,0.31400999426841736
Hong Kong,HKG,1972,55.002899169921875,0,0.15118999779224396
Hong Kong,HKG,1973,57.120670318603516,0,0.0814099982380867
Hong Kong,HKG,1974,58.476112365722656,0,0.0814099982380867
Hong Kong,HKG,1975,55.05731201171875,0,0.06977999955415726
Hong Kong,HKG,1976,64.99793243408203,0,0.09303999692201614
Hong Kong,HKG,1977,70.202392578125,0,0.0814099982380867
Hong Kong,HKG,1978,72.95870208740234,0,0.058150000870227814
Hong Kong,HKG,1979,74.71643829345703,0,0.04651999846100807
Hong Kong,HKG,1980,76.37256622314453,0,0.023259999230504036
Hong Kong,HKG,1981,81.00213623046875,0,0.4070500135421753
Hong Kong,HKG,1982,78.94145202636719,0,10.408849716186523
Hong Kong,HKG,1983,70.2967300415039,0,24.446260452270508
Hong Kong,HKG,1984,65.15005493164062,0,31.9127197265625
Hong Kong,HKG,1985,61.261138916015625,0,39.507110595703125
Hong Kong,HKG,1986,59.87338638305664,0,45.717529296875
Hong Kong,HKG,1987,58.73012161254883,0,57.28937911987305
Hong Kong,HKG,1988,67.36971282958984,0,66.27937316894531
Hong Kong,HKG,1989,71.8466796875,0,71.01277923583984
Hong Kong,HKG,1990,75.48578643798828,0,63.8719596862793
Hong Kong,HKG,1991,75.47003173828125,0,68.91938018798828
Hong Kong,HKG,1992,96.86925506591797,0,73.05966186523438
Hong Kong,HKG,1993,100.89405822753906,0,84.6082534790039
Hong Kong,HKG,1994,107.65178680419922,0,60.44110870361328
Hong Kong,HKG,1995,115.22543334960938,0.30394721031188965,65.15126037597656
Hong Kong,HKG,1996,112.90665435791016,19.268680572509766,48.41569137573242
Hong Kong,HKG,1997,111.75032806396484,30.08659553527832,40.8561897277832
Hong Kong,HKG,1998,107.21990203857422,28.225656509399414,50.788211822509766
Hong Kong,HKG,1999,114.08350372314453,31.124637603759766,43.413612365722656
